Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
What is 2 + 3?,5,6,4,7,A
What is 3 + 4?,7,8,6,9,A
What is 4 + 5?,9,10,8,11,A
What is 5 + 6?,11,12,10,13,A
What is 6 + 7?,13,14,12,15,A
What is 7 + 8?,15,16,14,17,A
What is 8 + 9?,17,18,16,19,A
What is 9 + 10?,19,20,18,21,A
What is 10 + 11?,21,22,20,23,A
What is 11 + 12?,23,24,22,25,A
What is 12 + 13?,25,26,24,27,A
What is 13 + 14?,27,28,26,29,A
What is 14 + 15?,29,30,28,31,A
What is 15 + 16?,31,32,30,33,A
What is 16 + 2?,18,19,17,20,A
What is 17 + 3?,20,21,19,22,A
What is 18 + 4?,22,23,21,24,A
What is 19 + 5?,24,25,23,26,A
What is 20 + 6?,26,27,25,28,A
What is 1 + 7?,8,9,7,10,A
What is 2 + 8?,10,11,9,12,A
What is 3 + 9?,12,13,11,14,A
What is 4 + 10?,14,15,13,16,A
What is 5 + 11?,16,17,15,18,A
What is 6 + 12?,18,19,17,20,A
What is 7 + 13?,20,21,19,22,A
What is 8 + 14?,22,23,21,24,A
What is 9 + 15?,24,25,23,26,A
What is 10 + 16?,26,27,25,28,A
What is 11 + 2?,13,14,12,15,A
What is 12 + 3?,15,16,14,17,A
What is 13 + 4?,17,18,16,19,A
What is 14 + 5?,19,20,18,21,A
What is 15 + 6?,21,22,20,23,A
What is 16 + 7?,23,24,22,25,A
What is 17 + 8?,25,26,24,27,A
What is 18 + 9?,27,28,26,29,A
What is 19 + 10?,29,30,28,31,A
What is 20 + 11?,31,32,30,33,A
What is 1 + 12?,13,14,12,15,A
What is 2 + 13?,15,16,14,17,A
What is 3 + 14?,17,18,16,19,A
What is 4 + 15?,19,20,18,21,A
What is 5 + 16?,21,22,20,23,A
What is 6 + 2?,8,9,7,10,A
What is 7 + 3?,10,11,9,12,A
What is 8 + 4?,12,13,11,14,A
What is 9 + 5?,14,15,13,16,A
What is 10 + 6?,16,17,15,18,A
What is 11 + 7?,18,19,17,20,A
What is 12 + 8?,20,21,19,22,A
What is 13 + 9?,22,23,21,24,A
What is 14 + 10?,24,25,23,26,A
What is 15 + 11?,26,27,25,28,A
What is 16 + 12?,28,29,27,30,A
What is 17 + 13?,30,31,29,32,A
What is 18 + 14?,32,33,31,34,A
What is 19 + 15?,34,35,33,36,A
What is 20 + 16?,36,37,35,38,A
What is 1 + 2?,3,4,2,5,A
What is 2 + 3?,5,6,4,7,A
What is 3 + 4?,7,8,6,9,A
What is 4 + 5?,9,10,8,11,A
What is 5 + 6?,11,12,10,13,A
What is 6 + 7?,13,14,12,15,A
What is 7 + 8?,15,16,14,17,A
What is 8 + 9?,17,18,16,19,A
What is 9 + 10?,19,20,18,21,A
What is 10 + 11?,21,22,20,23,A
What is 11 + 12?,23,24,22,25,A
What is 12 + 13?,25,26,24,27,A
What is 13 + 14?,27,28,26,29,A
What is 14 + 15?,29,30,28,31,A
What is 15 + 16?,31,32,30,33,A
What is 16 + 2?,18,19,17,20,A
What is 17 + 3?,20,21,19,22,A
What is 18 + 4?,22,23,21,24,A
What is 19 + 5?,24,25,23,26,A
What is 20 + 6?,26,27,25,28,A
What is 1 + 7?,8,9,7,10,A
What is 2 + 8?,10,11,9,12,A
What is 3 + 9?,12,13,11,14,A
What is 4 + 10?,14,15,13,16,A
What is 5 + 11?,16,17,15,18,A
What is 6 + 12?,18,19,17,20,A
What is 7 + 13?,20,21,19,22,A
What is 8 + 14?,22,23,21,24,A
What is 9 + 15?,24,25,23,26,A
What is 10 + 16?,26,27,25,28,A
What is 11 + 2?,13,14,12,15,A
What is 12 + 3?,15,16,14,17,A
What is 13 + 4?,17,18,16,19,A
What is 14 + 5?,19,20,18,21,A
What is 15 + 6?,21,22,20,23,A
What is 16 + 7?,23,24,22,25,A
What is 17 + 8?,25,26,24,27,A
What is 18 + 9?,27,28,26,29,A
What is 19 + 10?,29,30,28,31,A
What is 20 + 11?,31,32,30,33,A
What is 1 + 12?,13,14,12,15,A
What is 2 + 13?,15,16,14,17,A
What is 3 + 14?,17,18,16,19,A
What is 4 + 15?,19,20,18,21,A
What is 5 + 16?,21,22,20,23,A
What is 6 + 2?,8,9,7,10,A
What is 7 + 3?,10,11,9,12,A
What is 8 + 4?,12,13,11,14,A
What is 9 + 5?,14,15,13,16,A
What is 10 + 6?,16,17,15,18,A
What is 11 + 7?,18,19,17,20,A
What is 12 + 8?,20,21,19,22,A
What is 13 + 9?,22,23,21,24,A
What is 14 + 10?,24,25,23,26,A
What is 15 + 11?,26,27,25,28,A
What is 16 + 12?,28,29,27,30,A
What is 17 + 13?,30,31,29,32,A
What is 18 + 14?,32,33,31,34,A
What is 19 + 15?,34,35,33,36,A
What is 20 + 16?,36,37,35,38,A
What is 1 + 2?,3,4,2,5,A
